Name,RA,Dec
Tau_Seti,01 44 04.08,-15 56 14.92
GDB1,01 10 19.87,-72 03 35.51
GDB2,01 01 37.96,-71 54 16.84
GDB3,01 24 50.77,-73 57 39.85
GDB4,01 02 57.70,-72 31 45.78
GDB5,01 22 58.56,-73 59 28.59
GDB6,00 59 33.74,-72 20 49.80
GDB7,01 03 53.91,-72 08 26.83
GDB8,01 07 36.22,-72 34 48.52
GDB9,01 00 58.19,-71 35 29.93
GDB10,01 24 35.08,-73 37 55.46
GDB11,01 07 22.13,-71 49 37.47
GDB12,01 08 40.19,-71 58 49.73
GDB13,01 04 15.92,-71 49 23.44
GDB14,00 59 16.19,-72 02 00.80
GDB15,01 04 29.29,-71 45 56.04
GDB16,01 26 40.95,-72 59 39.72
GDB17,01 24 54.52,-73 38 33.42
GDB18,01 08 54.71,-72 12 08.02
GDB19,00 58 42.95,-72 27 17.57
GDB20,01 06 01.61,-72 03 36.29
GDB21,01 19 56.20,-73 21 53.85
GDB22,01 31 10.87,-73 23 18.43
GDB23,01 02 11.99,-71 48 51.07
GDB24,00 58 11.94,-71 28 02.00
GDB25,01 27 57.93,-73 22 33.15
GDB26,01 29 36.95,-73 40 35.41
GDB27,00 57 19.13,-72 33 01.99
GDB28,01 24 11.93,-74 02 33.04
GDB29,01 02 01.28,-72 22 19.45
GDB30,01 10 15.23,-72 02 11.83
GDB31,01 25 08.32,-73 46 14.09
GDB32,01 06 15.07,-72 19 48.53
GDB33,01 32 30.63,-73 12 37.39
GDB34,01 00 06.05,-71 57 06.91
GDB35,01 04 32.39,-72 04 43.96
GDB36,01 03 42.68,-72 21 01.13
GDB37,01 03 28.48,-72 29 50.37
GDB38,01 05 30.79,-72 17 02.09
GDB39,01 02 08.31,-72 06 48.74
GDB40,00 57 32.81,-72 13 02.79
GDB41,01 04 07.21,-71 36 42.18
